college_name,branch,rank
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",5164
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",5184
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",5190
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",5191
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5206
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5256
Indian Institute  of Technology Patna,"B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",5290
Indian Institute  of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",5308
"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",5378
Indian Institute  of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",5401
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",5405
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",5426
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",5435
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",5442
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",5473
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology)",5501
Indian Institute  of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",5537
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",5557
